name,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,artist
Forever & Always (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,225328,73,0.0231,0.598,0.821,0.0,0.143,-4.433,0.0447,128.03,4,Taylor Swift
The Best Day (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,245290,68,0.488,0.642,0.576,0.0,0.159,-8.524,0.0282,125.0,4,Taylor Swift
Change (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,279359,67,0.000191,0.499,0.815,0.0,0.181,-4.063,0.0341,95.999,4,Taylor Swift
Jump Then Fall (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,237580,69,0.0474,0.572,0.69,0.0,0.0897,-6.201,0.0358,160.111,4,Taylor Swift
Untouchable (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,312107,69,0.0181,0.393,0.531,0.0,0.169,-6.112,0.0329,200.391,4,Taylor Swift
Forever & Always (Piano Version) (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,267833,68,0.819,0.546,0.273,0.0,0.137,-9.208,0.0308,118.753,4,Taylor Swift
Come In With The Rain (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,237338,66,0.0406,0.476,0.564,0.0,0.102,-5.677,0.0269,143.929,4,Taylor Swift
Superstar (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,263865,65,0.157,0.454,0.555,0.0,0.343,-6.69,0.0283,171.862,4,Taylor Swift
The Other Side Of The Door (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,238443,70,0.0279,0.432,0.873,0.0,0.167,-4.367,0.0577,163.936,4,Taylor Swift
Today Was A Fairytale (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241822,69,0.0135,0.482,0.779,0.0,0.296,-5.025,0.0409,158.162,4,Taylor Swift
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021-04-09,220839,67,0.816,0.599,0.494,0.0,0.101,-7.61,0.0372,142.893,4,Taylor Swift
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021-04-09,277591,77,0.162,0.66,0.817,0.0,0.0667,-6.269,0.0521,135.942,4,Taylor Swift
We Were Happy (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021-04-09,244236,68,0.849,0.609,0.373,0.0,0.0779,-8.819,0.0263,106.007,4,Taylor Swift
That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021-04-09,189495,70,0.225,0.588,0.608,0.0,0.092,-7.062,0.0365,90.201,4,Taylor Swift
Don’t You (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021-04-09,208608,70,0.514,0.563,0.473,1.2e-05,0.109,-11.548,0.0503,101.934,4,Taylor Swift
Bye Bye Baby (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021-04-09,242157,68,0.334,0.624,0.624,0.0,0.0995,-7.86,0.0539,80.132,4,Taylor Swift
willow,evermore (deluxe version),2021-01-07,214706,74,0.833,0.392,0.574,0.00179,0.145,-9.195,0.17,81.112,4,Taylor Swift
champagne problems,evermore (deluxe version),2021-01-07,244000,75,0.92,0.462,0.24,0.0,0.113,-12.077,0.0377,171.319,4,Taylor Swift
gold rush,evermore (deluxe version),2021-01-07,185320,72,0.83,0.512,0.462,0.166,0.121,-10.491,0.0408,112.05,4,Taylor Swift
‘tis the damn season,evermore (deluxe version),2021-01-07,229840,73,0.735,0.575,0.434,6.59e-05,0.105,-8.193,0.0312,145.916,4,Taylor Swift
tolerate it,evermore (deluxe version),2021-01-07,245440,74,0.878,0.316,0.361,2.67e-05,0.0797,-10.381,0.0488,74.952,5,Taylor Swift
"no body, no crime (feat. HAIM)",evermore (deluxe version),2021-01-07,215626,72,0.418,0.546,0.613,0.0,0.103,-7.589,0.0264,79.015,4,Taylor Swift
happiness,evermore (deluxe version),2021-01-07,315146,70,0.87,0.559,0.334,0.0,0.114,-10.733,0.0376,122.079,4,Taylor Swift
dorothea,evermore (deluxe version),2021-01-07,225880,70,0.696,0.605,0.488,0.0,0.129,-8.322,0.0264,119.966,4,Taylor Swift
coney island (feat. The National),evermore (deluxe version),2021-01-07,275320,71,0.819,0.537,0.537,0.000904,0.142,-11.266,0.0617,107.895,4,Taylor Swift
ivy,evermore (deluxe version),2021-01-07,260440,71,0.855,0.515,0.545,1.97e-05,0.0921,-9.277,0.0353,88.856,4,Taylor Swift
cowboy like me,evermore (deluxe version),2021-01-07,275040,71,0.768,0.604,0.517,0.000155,0.123,-9.014,0.0347,127.967,4,Taylor Swift
long story short,evermore (deluxe version),2021-01-07,215920,70,0.66,0.546,0.73,0.179,0.0972,-7.704,0.0417,157.895,4,Taylor Swift
marjorie,evermore (deluxe version),2021-01-07,257773,71,0.876,0.535,0.561,0.000136,0.115,-11.609,0.0484,96.103,4,Taylor Swift
closure,evermore (deluxe version),2021-01-07,180653,68,0.835,0.689,0.704,4.83e-06,0.134,-10.813,0.245,151.884,5,Taylor Swift
evermore (feat. Bon Iver),evermore (deluxe version),2021-01-07,304106,72,0.937,0.39,0.27,0.00227,0.111,-10.673,0.0308,125.177,5,Taylor Swift
right where you left me - bonus track,evermore (deluxe version),2021-01-07,245026,83,0.769,0.581,0.619,0.000106,0.117,-6.524,0.0282,137.915,4,Taylor Swift
it’s time to go - bonus track,evermore (deluxe version),2021-01-07,254640,74,0.801,0.592,0.41,1.39e-05,0.09,-12.426,0.0397,151.923,4,Taylor Swift
willow,evermore,2020-12-11,214706,84,0.833,0.392,0.574,0.00179,0.145,-9.195,0.17,81.112,4,Taylor Swift
champagne problems,evermore,2020-12-11,244000,83,0.92,0.462,0.24,0.0,0.113,-12.077,0.0377,171.319,4,Taylor Swift
gold rush,evermore,2020-12-11,185320,75,0.83,0.512,0.462,0.166,0.121,-10.491,0.0408,112.05,4,Taylor Swift
‘tis the damn season,evermore,2020-12-11,229840,76,0.735,0.575,0.434,6.59e-05,0.105,-8.193,0.0312,145.916,4,Taylor Swift
tolerate it,evermore,2020-12-11,245440,80,0.878,0.316,0.361,2.67e-05,0.0797,-10.381,0.0488,74.952,5,Taylor Swift
"no body, no crime (feat. HAIM)",evermore,2020-12-11,215626,73,0.418,0.546,0.613,0.0,0.103,-7.589,0.0264,79.015,4,Taylor Swift
happiness,evermore,2020-12-11,315146,71,0.87,0.559,0.334,0.0,0.114,-10.733,0.0376,122.079,4,Taylor Swift
dorothea,evermore,2020-12-11,225880,69,0.696,0.605,0.488,0.0,0.129,-8.322,0.0264,119.966,4,Taylor Swift
coney island (feat. The National),evermore,2020-12-11,275320,68,0.819,0.537,0.537,0.000904,0.142,-11.266,0.0617,107.895,4,Taylor Swift
ivy,evermore,2020-12-11,260440,74,0.855,0.515,0.545,1.97e-05,0.0921,-9.277,0.0353,88.856,4,Taylor Swift
cowboy like me,evermore,2020-12-11,275040,73,0.768,0.604,0.517,0.000155,0.123,-9.014,0.0347,127.967,4,Taylor Swift
long story short,evermore,2020-12-11,215920,69,0.66,0.546,0.73,0.179,0.0972,-7.704,0.0417,157.895,4,Taylor Swift
marjorie,evermore,2020-12-11,257773,76,0.876,0.535,0.561,0.000136,0.115,-11.609,0.0484,96.103,4,Taylor Swift
closure,evermore,2020-12-11,180653,66,0.835,0.689,0.704,4.83e-06,0.134,-10.813,0.245,151.884,5,Taylor Swift
evermore (feat. Bon Iver),evermore,2020-12-11,304106,70,0.937,0.39,0.27,0.00227,0.111,-10.673,0.0308,125.177,5,Taylor Swift
the 1,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,210240,56,0.75,0.78,0.361,7.14e-06,0.108,-6.942,0.048,139.902,4,Taylor Swift
cardigan,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,239560,56,0.525,0.612,0.58,0.000414,0.26,-8.572,0.0419,130.045,4,Taylor Swift
the last great american dynasty,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,231000,54,0.481,0.688,0.653,0.00414,0.106,-8.558,0.0403,147.991,4,Taylor Swift
exile (feat. Bon Iver),folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,285640,56,0.761,0.31,0.374,2.46e-05,0.11,-8.464,0.0275,75.938,4,Taylor Swift
my tears ricochet,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,255893,55,0.814,0.456,0.265,0.0,0.0679,-10.663,0.0328,129.947,4,Taylor Swift
mirrorball,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,208973,54,0.686,0.549,0.417,1.9e-06,0.0604,-10.064,0.035,110.137,4,Taylor Swift
seven,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,208906,53,0.888,0.602,0.494,2.59e-05,0.0902,-10.813,0.0277,94.955,4,Taylor Swift
august,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,261920,55,0.553,0.387,0.634,6.93e-05,0.0931,-9.222,0.0363,89.567,4,Taylor Swift
this is me trying,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,195106,54,0.312,0.511,0.478,2.3e-05,0.147,-9.837,0.0322,135.882,4,Taylor Swift
illicit affairs,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,190893,54,0.862,0.529,0.304,0.0,0.108,-10.567,0.0356,119.58,4,Taylor Swift
invisible string,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,252880,54,0.859,0.651,0.459,6.63e-05,0.105,-11.128,0.0507,83.455,4,Taylor Swift
mad woman,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,237266,52,0.67,0.593,0.7,6.77e-06,0.116,-9.016,0.0492,141.898,4,Taylor Swift
epiphany,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,289746,51,0.727,0.317,0.254,0.000326,0.0867,-13.679,0.0286,93.933,4,Taylor Swift
betty,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,294520,52,0.589,0.595,0.376,0.0,0.0989,-8.767,0.0256,95.946,4,Taylor Swift
peace,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,234000,51,0.916,0.644,0.284,1.5e-05,0.0909,-12.879,0.0821,150.072,4,Taylor Swift
hoax,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,220040,50,0.964,0.676,0.178,7.9e-06,0.135,-15.01,0.0394,118.84,4,Taylor Swift
the lakes - bonus track,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,211813,52,0.842,0.313,0.258,1.3e-06,0.0948,-11.532,0.0383,179.947,4,Taylor Swift
the 1 - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,219893,61,0.898,0.708,0.25,0.026,0.102,-10.731,0.0361,139.803,4,Taylor Swift
cardigan - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,230680,62,0.88,0.395,0.234,0.0,0.107,-9.704,0.0382,86.478,3,Taylor Swift
the last great american dynasty - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,232346,59,0.743,0.64,0.618,0.004,0.0574,-11.715,0.0379,147.948,4,Taylor Swift
exile (feat. Bon Iver) - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,279893,60,0.848,0.359,0.305,6.74e-05,0.111,-10.295,0.0306,151.956,4,Taylor Swift
my tears ricochet - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,295173,63,0.946,0.531,0.172,1.01e-05,0.0615,-12.34,0.0351,129.007,4,Taylor Swift
mirrorball - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,237373,60,0.78,0.509,0.386,3.45e-05,0.118,-8.434,0.0272,109.993,4,Taylor Swift
seven - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,208986,58,0.914,0.694,0.449,0.000126,0.1,-11.49,0.0301,94.963,4,Taylor Swift
august - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,260000,61,0.5,0.554,0.663,4.77e-05,0.791,-8.961,0.0324,89.977,4,Taylor Swift
this is me trying - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,209293,61,0.928,0.435,0.332,0.000898,0.0867,-11.611,0.031,68.097,3,Taylor Swift
illicit affairs - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,183720,61,0.883,0.489,0.235,0.0,0.113,-10.274,0.0356,117.699,4,Taylor Swift
invisible string - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,257359,58,0.942,0.59,0.282,4.85e-06,0.11,-10.542,0.0281,83.438,4,Taylor Swift
mad woman - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,238333,57,0.887,0.663,0.465,0.000168,0.109,-10.463,0.0408,141.834,4,Taylor Swift
epiphany - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,274880,57,0.916,0.524,0.2,0.000392,0.068,-13.004,0.0274,93.87,4,Taylor Swift
betty - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,290040,59,0.841,0.538,0.316,0.0,0.119,-9.5,0.0299,95.68,4,Taylor Swift
peace - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,214373,57,0.93,0.619,0.344,7.61e-05,0.0734,-11.472,0.0647,149.897,4,Taylor Swift
hoax - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,221800,58,0.962,0.682,0.155,0.0,0.18,-13.083,0.0394,118.832,4,Taylor Swift
the lakes - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,199733,60,0.794,0.606,0.221,0.0,0.0888,-11.767,0.0468,89.844,4,Taylor Swift
the 1,folklore (deluxe version),2020-08-18,210240,75,0.75,0.78,0.361,7.14e-06,0.108,-6.942,0.048,139.902,4,Taylor Swift
cardigan,folklore (deluxe version),2020-08-18,239560,75,0.525,0.612,0.58,0.000414,0.26,-8.572,0.0419,130.045,4,Taylor Swift
the last great american dynasty,folklore (deluxe version),2020-08-18,231000,73,0.481,0.688,0.653,0.00414,0.106,-8.558,0.0403,147.991,4,Taylor Swift
exile (feat. Bon Iver),folklore (deluxe version),2020-08-18,285640,74,0.761,0.31,0.374,2.46e-05,0.11,-8.464,0.0275,75.938,4,Taylor Swift
my tears ricochet,folklore (deluxe version),2020-08-18,255893,75,0.814,0.456,0.265,0.0,0.0679,-10.663,0.0328,129.947,4,Taylor Swift
mirrorball,folklore (deluxe version),2020-08-18,208973,73,0.686,0.549,0.417,1.9e-06,0.0604,-10.064,0.035,110.137,4,Taylor Swift
seven,folklore (deluxe version),2020-08-18,208906,72,0.888,0.602,0.494,2.59e-05,0.0902,-10.813,0.0277,94.955,4,Taylor Swift
august,folklore (deluxe version),2020-08-18,261920,74,0.553,0.387,0.634,6.93e-05,0.0931,-9.222,0.0363,89.567,4,Taylor Swift
this is me trying,folklore (deluxe version),2020-08-18,195106,73,0.312,0.511,0.478,2.3e-05,0.147,-9.837,0.0322,135.882,4,Taylor Swift
illicit affairs,folklore (deluxe version),2020-08-18,190893,74,0.862,0.529,0.304,0.0,0.108,-10.567,0.0356,119.58,4,Taylor Swift
invisible string,folklore (deluxe version),2020-08-18,252880,73,0.859,0.651,0.459,6.63e-05,0.105,-11.128,0.0507,83.455,4,Taylor Swift
mad woman,folklore (deluxe version),2020-08-18,237266,71,0.67,0.593,0.7,6.77e-06,0.116,-9.016,0.0492,141.898,4,Taylor Swift
epiphany,folklore (deluxe version),2020-08-18,289746,70,0.727,0.317,0.254,0.000326,0.0867,-13.679,0.0286,93.933,4,Taylor Swift
betty,folklore (deluxe version),2020-08-18,294520,72,0.589,0.595,0.376,0.0,0.0989,-8.767,0.0256,95.946,4,Taylor Swift
peace,folklore (deluxe version),2020-08-18,234000,70,0.916,0.644,0.284,1.5e-05,0.0909,-12.879,0.0821,150.072,4,Taylor Swift
hoax,folklore (deluxe version),2020-08-18,220040,70,0.964,0.676,0.178,7.9e-06,0.135,-15.01,0.0394,118.84,4,Taylor Swift
the lakes - bonus track,folklore (deluxe version),2020-08-18,211813,74,0.842,0.313,0.258,1.3e-06,0.0948,-11.532,0.0383,179.947,4,Taylor Swift
the 1,folklore,2020-07-24,210251,82,0.757,0.777,0.357,7.28e-06,0.108,-6.942,0.0522,139.883,4,Taylor Swift
cardigan,folklore,2020-07-24,239560,92,0.537,0.613,0.581,0.000345,0.25,-8.588,0.0424,130.033,4,Taylor Swift
the last great american dynasty,folklore,2020-07-24,230999,78,0.467,0.686,0.662,0.0023,0.109,-8.505,0.0413,147.922,4,Taylor Swift
exile (feat. Bon Iver),folklore,2020-07-24,285634,83,0.778,0.298,0.38,5.62e-05,0.11,-8.426,0.0287,75.602,4,Taylor Swift
my tears ricochet,folklore,2020-07-24,255893,82,0.806,0.456,0.263,0.0,0.0749,-10.63,0.0332,129.86,4,Taylor Swift
mirrorball,folklore,2020-07-24,208977,81,0.687,0.553,0.413,2.33e-06,0.0594,-10.037,0.0334,110.107,4,Taylor Swift
seven,folklore,2020-07-24,208906,77,0.9,0.596,0.488,2.7e-05,0.091,-10.769,0.0274,94.926,4,Taylor Swift
august,folklore,2020-07-24,261922,90,0.538,0.532,0.623,7.28e-05,0.0925,-9.208,0.0331,89.937,4,Taylor Swift
this is me trying,folklore,2020-07-24,195097,81,0.314,0.515,0.476,4.74e-05,0.171,-9.843,0.0328,135.886,4,Taylor Swift
illicit affairs,folklore,2020-07-24,190898,83,0.881,0.559,0.31,0.0,0.106,-10.445,0.0338,119.845,4,Taylor Swift
invisible string,folklore,2020-07-24,252880,80,0.838,0.653,0.452,7.73e-05,0.108,-11.143,0.055,83.433,4,Taylor Swift
mad woman,folklore,2020-07-24,237258,72,0.655,0.592,0.699,1.68e-05,0.114,-8.995,0.0471,141.916,4,Taylor Swift
epiphany,folklore,2020-07-24,289749,71,0.731,0.354,0.267,0.000402,0.0858,-13.69,0.0281,94.219,4,Taylor Swift
betty,folklore,2020-07-24,294521,79,0.6,0.593,0.377,0.0,0.0976,-8.761,0.0253,95.939,4,Taylor Swift
peace,folklore,2020-07-24,234000,73,0.918,0.647,0.272,1.73e-05,0.0918,-12.906,0.0916,150.044,4,Taylor Swift
hoax,folklore,2020-07-24,220042,72,0.966,0.662,0.181,3.86e-06,0.133,-15.065,0.0415,118.819,4,Taylor Swift
I Forgot That You Existed,Lover,2019-08-23,170640,78,0.298,0.664,0.316,2.03e-06,0.0812,-10.345,0.519,92.875,4,Taylor Swift
Cruel Summer,Lover,2019-08-23,178426,100,0.117,0.552,0.702,2.06e-05,0.105,-5.707,0.157,169.994,4,Taylor Swift
Lover,Lover,2019-08-23,221306,94,0.492,0.359,0.543,1.58e-05,0.118,-7.582,0.0919,68.534,4,Taylor Swift
The Man,Lover,2019-08-23,190360,87,0.0767,0.777,0.658,0.0,0.0901,-5.191,0.054,110.048,4,Taylor Swift
The Archer,Lover,2019-08-23,211240,84,0.12,0.292,0.574,0.00569,0.0663,-9.375,0.0401,124.344,4,Taylor Swift
I Think He Knows,Lover,2019-08-23,173386,79,0.00889,0.897,0.366,0.000353,0.0715,-8.029,0.0569,100.003,4,Taylor Swift
Miss Americana & The Heartbreak Prince,Lover,2019-08-23,234146,84,0.028,0.662,0.747,0.00615,0.138,-6.926,0.0736,150.088,4,Taylor Swift
Paper Rings,Lover,2019-08-23,222400,86,0.0129,0.811,0.719,1.36e-05,0.0742,-6.553,0.0497,103.979,4,Taylor Swift
Cornelia Street,Lover,2019-08-23,287266,81,0.781,0.824,0.624,0.000189,0.1,-9.728,0.0827,102.012,4,Taylor Swift
Death By A Thousand Cuts,Lover,2019-08-23,198533,79,0.454,0.712,0.732,0.0,0.319,-6.754,0.0629,94.071,4,Taylor Swift
London Boy,Lover,2019-08-23,190240,80,0.0246,0.695,0.71,0.000104,0.133,-6.639,0.05,157.925,4,Taylor Swift
Soon You’ll Get Better (feat. The Chicks),Lover,2019-08-23,201586,73,0.907,0.433,0.182,0.0,0.123,-12.566,0.0641,207.476,4,Taylor Swift
False God,Lover,2019-08-23,200306,79,0.736,0.739,0.32,0.000147,0.111,-10.862,0.239,79.97,4,Taylor Swift
You Need To Calm Down,Lover,2019-08-23,171360,86,0.00929,0.771,0.671,0.0,0.0637,-5.617,0.0553,85.026,4,Taylor Swift
Afterglow,Lover,2019-08-23,223293,82,0.13,0.756,0.449,0.0,0.114,-8.746,0.0344,111.011,4,Taylor Swift
ME! (feat. Brendon Urie of Panic! At The Disco),Lover,2019-08-23,193000,81,0.033,0.61,0.83,0.0,0.118,-4.105,0.0571,182.162,4,Taylor Swift
It’s Nice To Have A Friend,Lover,2019-08-23,150440,73,0.971,0.737,0.175,0.000337,0.171,-9.912,0.0401,70.008,4,Taylor Swift
Daylight,Lover,2019-08-23,293453,85,0.808,0.557,0.496,0.000173,0.0772,-9.602,0.0563,149.983,4,Taylor Swift
...Ready For It?,reputation,2017-11-10,208186,87,0.0527,0.613,0.764,0.0,0.197,-6.509,0.136,160.015,4,Taylor Swift
End Game,reputation,2017-11-10,244826,82,0.00845,0.649,0.589,0.0,0.108,-6.237,0.0558,159.073,4,Taylor Swift
I Did Something Bad,reputation,2017-11-10,238253,83,0.0679,0.696,0.602,2.11e-05,0.0696,-6.156,0.159,82.989,4,Taylor Swift
Don’t Blame Me,reputation,2017-11-10,236413,92,0.106,0.615,0.534,1.76e-05,0.0607,-6.719,0.0386,135.917,4,Taylor Swift
Delicate,reputation,2017-11-10,232253,88,0.216,0.75,0.404,0.000357,0.0911,-10.178,0.0682,95.045,4,Taylor Swift
Look What You Made Me Do,reputation,2017-11-10,211853,88,0.204,0.766,0.709,1.41e-05,0.126,-6.471,0.123,128.07,4,Taylor Swift
So It Goes...,reputation,2017-11-10,227906,77,0.122,0.574,0.61,1.1e-06,0.13,-7.283,0.0732,74.957,4,Taylor Swift
Gorgeous,reputation,2017-11-10,209680,83,0.0713,0.8,0.535,9.48e-06,0.213,-6.684,0.135,92.027,4,Taylor Swift
Getaway Car,reputation,2017-11-10,233626,87,0.00465,0.562,0.689,2.23e-06,0.0888,-6.745,0.127,172.054,4,Taylor Swift
King Of My Heart,reputation,2017-11-10,214320,80,0.00882,0.675,0.703,2.21e-06,0.0391,-7.902,0.0382,110.01,4,Taylor Swift
Dancing With Our Hands Tied,reputation,2017-11-10,211506,79,0.0604,0.624,0.691,1.1e-05,0.138,-6.686,0.196,160.024,4,Taylor Swift
Dress,reputation,2017-11-10,230373,82,0.0329,0.719,0.469,0.0,0.169,-8.792,0.0533,120.085,4,Taylor Swift
This Is Why We Can't Have Nice Things,reputation,2017-11-10,207133,78,0.0156,0.567,0.789,0.0,0.382,-5.986,0.115,163.96,4,Taylor Swift
Call It What You Want,reputation,2017-11-10,203506,82,0.186,0.598,0.504,0.000221,0.34,-9.874,0.0731,163.954,4,Taylor Swift
New Year’s Day,reputation,2017-11-10,235466,78,0.921,0.661,0.151,0.0,0.13,-12.864,0.0354,94.922,4,Taylor Swift
All Too Well,reputation Stadium Tour Surprise Song Playlist,2017-11-09,329160,42,0.0448,0.602,0.605,0.000334,0.128,-7.803,0.0244,93.061,4,Taylor Swift
Wildest Dreams,reputation Stadium Tour Surprise Song Playlist,2017-11-09,220440,44,0.0692,0.55,0.688,0.00144,0.106,-7.416,0.0897,139.997,4,Taylor Swift
The Best Day,reputation Stadium Tour Surprise Song Playlist,2017-11-09,246306,36,0.639,0.669,0.448,4.06e-06,0.158,-8.566,0.0285,126.068,4,Taylor Swift
Red,reputation Stadium Tour Surprise Song Playlist,2017-11-09,223093,39,0.0779,0.605,0.899,0.000125,0.0911,-4.273,0.0423,124.985,4,Taylor Swift
Holy Ground,reputation Stadium Tour Surprise Song Playlist,2017-11-09,202960,36,0.0162,0.627,0.816,0.00208,0.0965,-6.698,0.0774,157.043,4,Taylor Swift
Teardrops On My Guitar - Radio Single Remix,reputation Stadium Tour Surprise Song Playlist,2017-11-09,204706,39,0.313,0.626,0.427,0.0,0.138,-6.993,0.0234,99.959,4,Taylor Swift
Our Song,reputation Stadium Tour Surprise Song Playlist,2017-11-09,203440,44,0.114,0.545,0.663,0.0,0.321,-5.05,0.0363,178.013,4,Taylor Swift
22,reputation Stadium Tour Surprise Song Playlist,2017-11-09,232120,41,0.00254,0.66,0.733,0.00146,0.0473,-6.564,0.0379,104.009,4,Taylor Swift
I Knew You Were Trouble.,reputation Stadium Tour Surprise Song Playlist,2017-11-09,219720,42,0.00476,0.536,0.464,2.67e-06,0.0357,-6.761,0.0412,77.318,4,Taylor Swift
I Don’t Wanna Live Forever (Fifty Shades Darker),reputation Stadium Tour Surprise Song Playlist,2017-11-09,247160,86,0.0586,0.731,0.445,1.96e-05,0.14,-8.418,0.0533,117.97,4,Taylor Swift
Mean,reputation Stadium Tour Surprise Song Playlist,2017-11-09,238693,39,0.451,0.576,0.754,0.0,0.223,-3.982,0.0428,163.886,4,Taylor Swift
How You Get The Girl,reputation Stadium Tour Surprise Song Playlist,2017-11-09,247533,37,0.00364,0.765,0.656,0.00868,0.0918,-6.112,0.0504,119.997,4,Taylor Swift
So It Goes...,reputation Stadium Tour Surprise Song Playlist,2017-11-09,227906,59,0.122,0.574,0.61,1.1e-06,0.13,-7.283,0.0732,74.957,4,Taylor Swift
Fifteen,reputation Stadium Tour Surprise Song Playlist,2017-11-09,295320,36,0.0717,0.55,0.628,0.0,0.138,-4.437,0.0269,95.122,4,Taylor Swift
Mine,reputation Stadium Tour Surprise Song Playlist,2017-11-09,231866,44,0.00302,0.621,0.779,3.22e-06,0.187,-2.943,0.0301,121.034,4,Taylor Swift
Sparks Fly,reputation Stadium Tour Surprise Song Playlist,2017-11-09,262920,37,0.041,0.61,0.782,0.0,0.16,-2.98,0.0309,114.977,4,Taylor Swift
State Of Grace,reputation Stadium Tour Surprise Song Playlist,2017-11-09,295720,34,0.000184,0.591,0.828,0.00113,0.0879,-5.895,0.0333,129.962,4,Taylor Swift
Haunted,reputation Stadium Tour Surprise Song Playlist,2017-11-09,245413,36,0.0648,0.431,0.949,0.0,0.0612,-2.622,0.0605,162.012,4,Taylor Swift
Never Grow Up,reputation Stadium Tour Surprise Song Playlist,2017-11-09,292920,35,0.824,0.714,0.309,0.0,0.136,-8.828,0.0302,124.894,4,Taylor Swift
Treacherous,reputation Stadium Tour Surprise Song Playlist,2017-11-09,242760,34,0.101,0.704,0.621,4.3e-06,0.14,-8.086,0.0334,109.995,4,Taylor Swift
Babe,reputation Stadium Tour Surprise Song Playlist,2017-11-09,215106,37,0.0221,0.577,0.784,0.0,0.125,-3.266,0.101,171.791,4,Taylor Swift
Welcome To New York,reputation Stadium Tour Surprise Song Playlist,2017-11-09,212600,37,0.0348,0.789,0.634,1.64e-06,0.302,-4.762,0.0323,116.992,4,Taylor Swift
Fearless,reputation Stadium Tour Surprise Song Playlist,2017-11-09,242973,36,0.0377,0.603,0.718,0.0,0.307,-4.401,0.0272,100.163,4,Taylor Swift
Enchanted,reputation Stadium Tour Surprise Song Playlist,2017-11-09,353253,48,0.0717,0.535,0.626,0.00127,0.158,-3.895,0.0274,81.963,4,Taylor Swift
